,index,Route,SENS,PR_FIN,LON_BEGIN,LAT_BEGIN,LON_END,LAT_END,X,Y,Estimated pr,Estimation delta
84,10497,A0001,1,46,2.65689061,49.23284726,2.65696557,49.23292177,2.65692809,49.232884514999995,47,11.858985050868343
85,10597,A0001,1,47,2.66493555,49.2401047,2.66502953,49.24017051,2.66498254,49.240137605,48,17.44288964079607
86,10697,A0001,1,48,2.67462889,49.2464644,2.67472698,49.24652852,2.674677935,49.24649646,49,10.439051490944163
87,11098,A0001,1,52,2.69606056,49.27897182,2.69604422,49.27906146,2.69605239,49.27901664,53,11.12884208157914
88,11298,A0001,1,54,2.69024219,49.29653426,2.69022133,49.29662377,2.69023176,49.296579015,55,5.177754350776405
89,11398,A0001,1,55,2.68549154,49.30489318,2.68544104,49.3049768,2.68546629,49.30493499,56,7.392213152264162
90,11498,A0001,1,56,2.68539173,49.31373351,2.6854163,49.31382112,2.685404015,49.313777314999996,57,11.460661056282268
91,11598,A0001,1,57,2.68831502,49.32251749,2.68835289,49.32260388,2.688333955,49.322560685,58,5.384876469520733
92,11699,A0001,1,58,2.69226733,49.33121787,2.69230615,49.33130349,2.69228674,49.33126068,59,10.175440379017108
93,11798,A0001,1,59,2.69614327,49.33974701,2.69618258,49.33983298,2.696162925,49.339789995000004,60,9.549381601948452
94,11898,A0001,1,60,2.70006065,49.34836423,2.70009919,49.34845022,2.7000799200000003,49.348407225,61,15.739687544408401
95,11998,A0001,1,61,2.70273274,49.35715433,2.70275186,49.35724278,2.7027422999999997,49.357198555,62,14.385060800694554
96,12099,A0001,1,62,2.70412294,49.36618482,2.70412544,49.36627512,2.70412419,49.36622997,63,12.084555037369622
97,12199,A0001,1,63,2.70416137,49.37517785,2.7041558,49.37526726,2.704158585,49.375222555,64,4.712689796439172
98,12299,A0001,1,64,2.70224386,49.38405168,2.70221257,49.38413937,2.702228215,49.384095525,65,9.826257813266569
99,12399,A0001,1,65,2.69902835,49.39279667,2.69899597,49.39288409,2.6990121599999997,49.39284038,66,6.135859258667885
100,12498,A0001,1,66,2.69585131,49.40144781,2.69581938,49.40153586,2.695835345,49.401491835,67,9.544429085359699
101,12599,A0001,1,67,2.69397746,49.41040104,2.69398095,49.41049051,2.6939792049999998,49.410445775,68,3.4595722815290113
102,12699,A0001,1,68,2.69469749,49.41936485,2.69470496,49.41945425,2.694701225,49.41940955,69,14.933365695475413
103,12799,A0001,1,69,2.6954527,49.42835463,2.69546002,49.42844411,2.69545636,49.42839937,70,12.066106800568464
104,12901,A0001,1,71,2.69621775,49.43742152,2.69622523,49.43751084,2.69622149,49.43746618,71,14.891213561490996
105,12999,A0001,1,71,2.69730358,49.4461949,2.69732455,49.44628372,2.6973140649999996,49.446239309999996,72,6.865703423459053
106,13400,A0001,1,76,2.71271905,49.48062085,2.71273714,49.48070909,2.712728095,49.48066497,76,2.2786548891835174
107,13600,A0001,1,78,2.71642478,49.49840944,2.71644329,49.49849783,2.716434035,49.498453635000004,78,10.951348820316865
108,13701,A0001,1,79,2.71829719,49.5074001,2.71831587,49.50748904,2.71830653,49.507444570000004,79,7.329411710927968
109,13800,A0001,1,80,2.72013671,49.51622203,2.72015504,49.51631176,2.720145875,49.516266895,80,16.908241611781122
110,13900,A0001,1,80,2.72198828,49.52514042,2.72200715,49.52523006,2.721997715,49.52518524,81,13.718714065872954
111,13999,A0001,1,81,2.72478586,49.53385664,2.72481915,49.53394386,2.724802505,49.53390025,82,17.776793853121198
112,14105,A0001,1,83,2.72824922,49.54312062,2.72828183,49.54320761,2.728265525,49.543164115,83,15.60234972827303
113,14199,A0001,1,83,2.73135693,49.55132035,2.731392,49.55140617,2.731374465,49.55136326,84,15.074778847286595
114,14300,A0001,1,85,2.73537092,49.56000351,2.73541178,49.56008943,2.73539135,49.56004647,85,8.735528737792281
115,14399,A0001,1,85,2.7394298,49.56851563,2.73947017,49.56860082,2.7394499850000003,49.568558225000004,86,9.460981349064827
116,14699,A0001,1,88,2.7510739,49.5943873,2.75110681,49.59447456,2.751090355,49.59443093,89,15.705932696091317
117,14904,A0001,1,91,2.75552308,49.61250675,2.75552447,49.61259655,2.7555237750000003,49.61255165,91,12.870818942018257
118,15000,A0001,1,92,2.75562913,49.62113957,2.75563057,49.62122928,2.75562985,49.621184424999996,92,5.19876931966325
119,15081,A0004,1,107,3.66655086,49.14911582,3.66668793,49.14911893,3.666619395,49.149117375,107,13.05037276275274
120,15181,A0004,1,108,3.68028953,49.14938197,3.68042788,49.14938535,3.6803587049999997,49.14938366,108,20.14976816587485
121,15282,A0004,1,109,3.69391401,49.15044683,3.69404865,49.15046475,3.6939813299999997,49.150455789999995,109,24.848188340577316
122,15382,A0004,1,109,3.70687838,49.15290024,3.7070059,49.15293222,3.7069421399999998,49.15291623,110,37.23858941404773
123,15484,A0004,1,111,3.71931495,49.1568863,3.71943365,49.15693309,3.7193743,49.156909694999996,111,7.445055399323244
124,15584,A0004,1,112,3.73043597,49.1621275,3.73053898,49.16218598,3.730487475,49.16215674,112,20.91181491952307
125,15626,A0004,1,210,4.83980045,49.07506156,4.83993698,49.07505081,4.839868715,49.075056185,210,6.776239740404638
126,15726,A0004,1,212,4.8534669,49.07499575,4.85360271,49.07499033,4.853534805,49.074993039999995,211,3.6706999675362035
127,15826,A0004,1,214,4.86691967,49.07337984,4.86705409,49.07336321,4.86698688,49.073371525,212,4.579219788394257
128,15926,A0004,1,216,4.88050542,49.07239424,4.88064128,49.07238508,4.880573350000001,49.07238966,213,5.020259111633968
129,16026,A0004,1,218,4.89413014,49.07178286,4.8942673,49.07178833,4.89419872,49.071785594999994,214,3.5754105006596726
130,16126,A0004,1,220,4.90729461,49.0741044,4.90742168,49.0741359,4.907358145,49.07412015,215,11.064392602354594
131,16225,A0004,1,221,4.9202666,49.0764771,4.92040385,49.07647996,4.920335225,49.07647853,216,8.342560827668315
132,16325,A0004,1,224,4.93371784,49.07796673,4.93385186,49.07798433,4.93378485,49.07797553,217,0.6587014074651516
133,16722,A0004,1,222,4.98322797,49.09223359,4.98336052,49.09225696,4.983294245,49.092245274999996,221,1.7232851898390162
134,16823,A0004,1,222,4.99680197,49.09181485,4.99693715,49.09180143,4.99686956,49.09180814,222,10.919419895318757
135,16923,A0004,1,224,5.01030247,49.09140708,5.01043152,49.09143518,5.010366995,49.09142113,223,4.418003533835289
136,17023,A0004,1,226,5.02051462,49.09714054,5.02061623,49.0972009,5.020565425,49.097170719999994,224,32.93062168692478
137,17123,A0004,1,228,5.03328842,49.09917047,5.03341916,49.09914661,5.03335379,49.09915854,225,19.02547693542723
138,17222,A0004,1,230,5.04587916,49.09587686,5.04600607,49.0958432,5.0459426149999995,49.09586003,226,3.9414210983317184
139,17323,A0004,1,232,5.05936093,49.09465997,5.05949553,49.09467257,5.05942823,49.094666270000005,227,21.287874926438576
140,17423,A0004,1,234,5.07263273,49.09680792,5.07276734,49.09682038,5.072700035,49.09681415,228,18.558955340282598
141,17522,A0004,1,236,5.08562934,49.09496383,5.08574876,49.09491895,5.08568905,49.09494139,229,41.62492457717926
